02 2016																																																																																																																																																										
Company	Planner	Available User Field 3	Division	Ship To	Item	Description	UPC Code	Class 1	Class 2	Class 3	Class 4	SOP Flag	ABC Code 1	ABC Code 3	Forecast Flag	Future Cost	Future Price	Unsigned Error	Original History  1	Original History  2	Original History  3	Original History  4	Original History  5	Original History  6	Original History  7	Original History  8	Original History  9	Original History 10	Original History 11	Original History 12	Original History 13	Original History 14	Original History 15	Original History 16	Original History 17	Original History 18	Original History 19	Original History 20	Original History 21	Original History 22	Original History 23	Original History 24	Original History 25	Original History 26	Original History 27	Original History 28	Original History 29	Original History 30	Original History 31	Original History 32	Original History 33	Original History 34	Original History 35	Original History 36	Adjusted History  1	Adjusted History  2	Adjusted History  3	Adjusted History  4	Adjusted History  5	Adjusted History  6	Adjusted History  7	Adjusted History  8	Adjusted History  9	Adjusted History 10	Adjusted History 11	Adjusted History 12	Adjusted History 13	Adjusted History 14	Adjusted History 15	Adjusted History 16	Adjusted History 17	Adjusted History 18	Adjusted History 19	Adjusted History 20	Adjusted History 21	Adjusted History 22	Adjusted History 23	Adjusted History 24	Adjusted History 25	Adjusted History 26	Adjusted History 27	Adjusted History 28	Adjusted History 29	Adjusted History 30	Adjusted History 31	Adjusted History 32	Adjusted History 33	Adjusted History 34	Adjusted History 35	Adjusted History 36	Adjusted Forecast  1	Adjusted Forecast  2	Adjusted Forecast  3	Adjusted Forecast  4	Adjusted Forecast  5	Adjusted Forecast  6	Adjusted Forecast  7	Adjusted Forecast  8	Adjusted Forecast  9	Adjusted Forecast 10	Adjusted Forecast 11	Adjusted Forecast 12	System Forecast  1	System Forecast  2	System Forecast  3	System Forecast  4	System Forecast  5	System Forecast  6	System Forecast  7	System Forecast  8	System Forecast  9	System Forecast 10	System Forecast 11	System Forecast 12	Birth Date	Discontinue Date	Independent Demand 1	Independent Demand 2	Independent Demand 3	Independent Demand 4	Independent Demand 5	Independent Demand 6	Independent Demand 7	Independent Demand 8	Independent Demand 9	Independent Demand 10	Independent Demand 11	Independent Demand 12	Historical Cost  1	Historical Price1	Historical Price2	Historical Price3	Historical Price4	Historical Price5	Historical Price6	Historical Price7	Historical Price8	Historical Price9	Historical Price10	Historical Price11	Historical Price12	Historical Price13	Historical Price14	Historical Price15	Historical Price16	Historical Price17	Historical Price18	Historical Price19	Historical Price20	Historical Price21	Historical Price22	Historical Price23	Historical Price24	Interpolation Counter
	SIMPATIC	606	1000	9999999	00302-85	FW BAR WAITERS CORKSCREW	024131003020	10	40005FARBERWARE	GADGETS00101042	00000040005	N	B		Y	0.41      	1.96      	133.5	0	0	24	0	48	3	1200	2	0	2	0	0	0	0	0	388	0	0	98	818	341	240	336	96	145	192	384	144	240	144	99	144	289	577	437	288	0	0	24	0	48	3	1200	2	0	2	0	0	0	0	0	388	0	0	98	818	341	240	336	96	145	192	384	144	240	144	99	144	289	577	437	288	0	0	0	140	214	310	4	8	15	7	3	3	0	0	0	140	214	310	4	8	15	7	3	3	20120327		0	0	0	0	0	0	0	0	0	0	0	0	.410000000	1.96      	1.96      	2.00000000	1.87      	1.88000000	1.48000000	.850000000	2.00000000	2.01      	2.06000000	1.96000000	1.96000000	1.96000000	1.96000000	1.96000000	1.58000000	1.89000000	1.72000000	.720000000	1.60000000	1.54000000	1.70000000	1.70000000	1.70000000	13
		606	1000	============	00302-85	FW BAR WAITERS CORKSCREW	024131003020	10	40005FARBERWARE	GADGETS00101042	00000040005	Y	B		N	0.41000000	1.96905806	.0	672	576	696	624	672	675	2064	578	576	818	576	912	432	192	1296	1348	816	624	770	1922	965	1008	1632	672	1009	432	1488	1296	720	1008	1251	912	1297	2065	1061	768	672	576	696	624	672	675	2064	578	576	818	576	912	432	192	1296	1348	816	624	770	1922	965	1008	1632	672	1009	432	1488	1296	720	1008	1251	912	1297	2065	1061	768	775	823	798	744	907	1030	674	592	871	914	305	594	543	687	798	744	907	1030	674	592	871	914	305	594	20120327		0	0	0	0	0	0	0	0	0	0	0	0	0.41000000	1.97571428	2.02500000	1.97655172	1.89230769	1.92428571	1.97351111	1.32581395	2.10131487	1.94833333	2.05882640	2.06333333	2.09157894	1.83333333	2.68000000	2.03777777	1.86415430	2.03176470	2.03384615	1.75854545	1.84124869	1.83645595	2.03523809	1.96823529	1.94571428	
	WANG	606	1000	135930	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00235040005	Y	D		N	2.00000000	5.00000000	0.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20151222		0	0	0	0	0	0	0	0	0	0	0	0	2.00000000	5.00000000	.000000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
	WAY	606	1000	141957	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	03722040005	Y	A	E	N	2.00000000	3.78      	0.0	1344	0	1296	1056	1104	0	1248	912	0	1440	1200	0	1680	0	0	0	2352	1632	0	1824	1344	1488	0	1344	1440	0	1488	1536	1536	1488	1392	0	1440	0	1776	1344	1344	0	1296	1056	1104	0	1248	912	0	1440	1200	0	1680	0	0	0	2352	1632	0	1824	1344	1488	0	1344	1440	0	1488	1536	1536	1488	1392	0	1440	0	1776	1344	700	831	981	932	916	1300	869	1300	1000	800	800	600	363	402	428	407	400	303	358	573	0	0	0	0	20110414		0	0	0	0	0	0	0	0	0	0	0	0	2.00000000	3.78000000	.000000000	3.78000000	3.78000000	3.78000000	.000000000	3.78000000	3.78000000	.000000000	3.78000000	3.78000000	.000000000	3.78000000	.000000000	3.78000000	3.78000000	3.78000000	3.78000000	.000000000	3.78000000	3.78000000	3.78000000	.000000000	3.78000000	13
	WAY	606	1000	141966	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00000040005	Y	C		N	2.00000000	5.00000000	0.0	96	0	0	48	48	96	0	48	0	48	0	48	96	0	48	48	0	48	96	0	48	48	0	48	0	0	0	144	192	96	0	0	48	0	0	0	96	0	0	48	48	96	0	48	0	48	0	48	96	0	48	48	0	48	96	0	48	48	0	48	0	0	0	144	192	96	0	0	48	0	0	0	48	48	48	48	48	48	48	48	48	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	20130123		0	0	0	0	0	0	0	0	0	0	0	0	2.00000000	5.00000000	5.00000000	5.00000000	5.00000000	5.00000000	5.00000000	5.00000000	5.00000000	.000000000	5.00000000	5.00000000	5.00000000	5.00000000	.000000000	5.00000000	5.00000000	.000000000	5.00000000	5.00000000	.000000000	5.00000000	5.00000000	5.00000000	5.00000000	13
	KNAFELC	606	1000	177072	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	07045040005	Y	A		N	2.00000000	5.35      	0.0	0	288	144	0	432	96	288	192	144	144	288	48	0	144	288	480	288	384	144	336	96	144	576	96	48	0	384	336	288	96	288	144	144	144	192	144	0	288	144	0	432	96	288	192	144	144	288	48	0	144	288	480	288	384	144	336	96	144	576	96	48	0	384	336	288	96	288	144	144	144	192	144	93	342	153	136	238	255	204	357	254	332	288	144	93	342	153	136	238	255	204	357	0	0	0	0	20110414		0	0	0	0	0	0	0	0	0	0	0	0	2.00000000	5.35      	5.35000000	5.35000000	5.35      	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	5.35000000	13
	SIMPATIC	606	1000	9999999	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00000040005	N	C		N	2.00000000	3.87      	0.0	48	48	0	48	50	51	96	50	0	98	0	0	0	0	48	52	300	0	50	98	51	1	48	48	0	48	48	48	117	48	51	51	144	240	198	144	48	48	0	48	50	51	96	50	0	98	0	0	0	0	48	52	300	0	50	98	51	1	48	48	0	48	48	48	117	48	51	51	144	240	198	144	46	59	83	48	49	47	24	111	0	0	0	0	46	59	83	48	49	47	24	111	0	0	0	0	20120731		24	0	0	0	0	0	0	0	0	0	0	0	2.00000000	4.00000000	4.00000000	.000000000	4.00000000	3.84000000	3.76000000	4.00000000	3.84000000	4.03      	3.92000000	.000000000	5.20000000	5.20000000	5.20000000	4.00000000	3.69000000	3.78000000	.000000000	3.84000000	3.92000000	4.00000000	4.38000000	4.25000000	4.25000000	13
		606	1000	============	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00000040005	Y	C		N	2.00000000	4.01529875	.0	1491	336	1440	1152	1634	243	1632	1202	144	1730	1488	96	1776	144	384	580	2940	2064	290	2258	1539	1681	624	1536	1488	48	1920	2064	2133	1728	1731	195	1776	384	2166	1632	1491	336	1440	1152	1634	243	1632	1202	144	1730	1488	96	1776	144	384	580	2940	2064	290	2258	1539	1681	624	1536	1488	48	1920	2064	2133	1728	1731	195	1776	384	2166	1632	887	1280	1265	1164	1251	1650	1145	1816	1302	1180	1136	792	502	803	664	591	687	605	586	1041	0	0	0	0	20120731		24	0	0	0	0	0	0	0	0	0	0	0	2.00000000	3.86808853	5.15714285	3.93700000	3.84000000	4.23275397	4.87802469	4.07000000	4.08199667	5.35000000	3.95246242	4.08387096	5.17500000	3.84594594	5.35000000	5.13750000	5.17220689	3.93379591	4.10046511	4.97379310	4.01969884	3.92327485	3.94968471	5.26538461	3.93093750	
	SIMPATIC	606	SYML	9999999	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00000040005	N	D		N	2.00000000	0.00000000	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20151103		0	0	0	0	0	0	0	0	0	0	0	0	.000000000	.000000000	.000000000	.000000000	.000000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3
		606	SYML	============	00303-85	FW BAR HI-TECH CORKSCREW	024131003037	21	40005FARBERWARE	GADGETS00101042	00000040005	Y	D		N	2.00000000	0.00000000	.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20151103		0	0	0	0	0	0	0	0	0	0	0	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
