02 2016																																																																																																																																																										
Company	Planner	Available User Field 3	Division	Ship To	Item	Description	UPC Code	Class 1	Class 2	Class 3	Class 4	SOP Flag	ABC Code 1	ABC Code 3	Forecast Flag	Future Cost	Future Price	Unsigned Error	Original History  1	Original History  2	Original History  3	Original History  4	Original History  5	Original History  6	Original History  7	Original History  8	Original History  9	Original History 10	Original History 11	Original History 12	Original History 13	Original History 14	Original History 15	Original History 16	Original History 17	Original History 18	Original History 19	Original History 20	Original History 21	Original History 22	Original History 23	Original History 24	Original History 25	Original History 26	Original History 27	Original History 28	Original History 29	Original History 30	Original History 31	Original History 32	Original History 33	Original History 34	Original History 35	Original History 36	Adjusted History  1	Adjusted History  2	Adjusted History  3	Adjusted History  4	Adjusted History  5	Adjusted History  6	Adjusted History  7	Adjusted History  8	Adjusted History  9	Adjusted History 10	Adjusted History 11	Adjusted History 12	Adjusted History 13	Adjusted History 14	Adjusted History 15	Adjusted History 16	Adjusted History 17	Adjusted History 18	Adjusted History 19	Adjusted History 20	Adjusted History 21	Adjusted History 22	Adjusted History 23	Adjusted History 24	Adjusted History 25	Adjusted History 26	Adjusted History 27	Adjusted History 28	Adjusted History 29	Adjusted History 30	Adjusted History 31	Adjusted History 32	Adjusted History 33	Adjusted History 34	Adjusted History 35	Adjusted History 36	Adjusted Forecast  1	Adjusted Forecast  2	Adjusted Forecast  3	Adjusted Forecast  4	Adjusted Forecast  5	Adjusted Forecast  6	Adjusted Forecast  7	Adjusted Forecast  8	Adjusted Forecast  9	Adjusted Forecast 10	Adjusted Forecast 11	Adjusted Forecast 12	System Forecast  1	System Forecast  2	System Forecast  3	System Forecast  4	System Forecast  5	System Forecast  6	System Forecast  7	System Forecast  8	System Forecast  9	System Forecast 10	System Forecast 11	System Forecast 12	Birth Date	Discontinue Date	Independent Demand 1	Independent Demand 2	Independent Demand 3	Independent Demand 4	Independent Demand 5	Independent Demand 6	Independent Demand 7	Independent Demand 8	Independent Demand 9	Independent Demand 10	Independent Demand 11	Independent Demand 12	Historical Cost  1	Historical Price1	Historical Price2	Historical Price3	Historical Price4	Historical Price5	Historical Price6	Historical Price7	Historical Price8	Historical Price9	Historical Price10	Historical Price11	Historical Price12	Historical Price13	Historical Price14	Historical Price15	Historical Price16	Historical Price17	Historical Price18	Historical Price19	Historical Price20	Historical Price21	Historical Price22	Historical Price23	Historical Price24	Interpolation Counter
	HABERKOR	550	1000	155438	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	C	E	Y	1.06      	7.99      	40.3	0	68	53	15	9	9	6	1	7	5	4	23	90	275	73	13	9	0	5	7	2	1	19	32	421	160	78	20	3	2	11	2	15	11	20	44	0	68	53	15	9	9	6	1	7	5	4	23	90	275	73	13	9	0	5	7	2	1	19	32	421	160	78	20	3	2	11	2	15	11	20	44	24	8	5	2	1	2	9	9	16	54	72	19	7	3	1	2	1	2	2	3	8	8	19	19	20090506		0	0	0	0	0	0	0	0	0	0	0	0	1.06000000	7.99      	5.99000000	5.99000000	5.99000000	5.99000000	5.99000000	5.99000000	5.99000000	4.70000000	5.51000000	4.49000000	3.83000000	3.35000000	3.93000000	5.19000000	5.60000000	5.80000000	7.99000000	4.86000000	4.96000000	5.99000000	5.99000000	5.61000000	5.63000000	13
	DIXON	550	1000	155619	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.06      	6.00000000	0.0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20150112		0	0	0	0	0	0	0	0	0	0	0	0	1.06000000	6.00000000	6.00000000	6.00000000	6.00000000	6.00000000	6.00000000	6.00000000	6.00000000	.000000000	6.00000000	6.00000000	6.00000000	6.00000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13
	HABERKOR	550	1000	157541	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.06      	3.00000000	0.0	0	12	6	0	0	4	3	8	5	1	23	10	16	23	3	7	0	12	1	0	0	0	8	12	11	23	5	0	0	2	1	0	0	0	1	4	0	12	6	0	0	4	3	8	5	1	23	10	16	23	3	7	0	12	1	0	0	0	8	12	11	23	5	0	0	2	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20100310		0	0	0	0	0	0	0	0	0	0	0	0	1.06000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	13
	OPFELL	550	1000	9999999	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	N	D		N	1.06      	1.39      	0.0	0	20	2	0	0	0	0	0	0	0	0	0	6	26	4	0	0	1	0	0	4	0	8	0	4	8	0	0	0	0	0	0	0	0	2	0	0	20	2	0	0	0	0	0	0	0	0	0	6	26	4	0	0	1	0	0	4	0	8	0	4	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20150918		0	0	0	0	0	0	0	0	0	0	0	0	1.06000000	1.39000000	3.00000000	3.00000000	3.03      	3.03      	3.03      	3.03      	3.03      	3.03      	3.03      	3.03000000	3.03000000	2.00000000	.000000000	4.79000000	.000000000	2.86000000	3.00000000	.000000000	3.94000000	3.94000000	3.94000000	3.90000000	3.77000000	13
		550	1000	============	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.06000000	7.99000000	.0	0	102	61	15	9	13	9	22	12	6	27	33	113	324	80	20	9	13	6	7	6	1	35	44	436	191	83	20	3	4	12	2	15	11	23	48	0	102	61	15	9	13	9	22	12	6	27	33	113	324	80	20	9	13	6	7	6	1	35	44	436	191	83	20	3	4	12	2	15	11	23	48	24	8	5	2	1	2	9	9	16	54	72	19	7	3	1	2	1	2	2	3	8	8	19	19	20150918		0	0	0	0	0	0	0	0	0	0	0	0	0.00000000	0.00000000	5.05215686	5.59786885	5.99000000	5.99000000	5.07000000	4.99333333	4.90863636	3.99166666	5.09166666	3.22074074	3.57848484	3.25221238	3.54861111	5.08787500	4.69000000	5.80000000	3.00000000	4.55000000	4.96000000	4.62333333	5.99000000	4.62257142	4.91272727	
	KANTER	901	FOBR	103239	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	01258040040	N	B		N	0.91      	1.3       	0.0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20140605		0	0	0	0	0	0	0	0	0	0	0	0	.910000000	1.3       	1.3       	1.3       	1.3       	1.3       	1.3       	1.3       	1.35000000	.000000000	.000000000	.000000000	1.30000000	1.30000000	1.30000000	1.30000000	1.30000000	1.30000000	1.35000000	.000000000	.000000000	0.000	0.000	0.000	0.000	13
	KANTER	901	FOBR	114202	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	05355040040	N	B		N	0.91      	1.35      	0.0	0	0	0	0	0	3500	2596	0	0	0	0	0	0	0	0	0	6100	0	0	0	0	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	0	0	3500	2596	0	0	0	0	0	0	0	0	0	6100	0	0	0	0	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20110406		0	0	0	0	0	0	0	0	0	0	0	0	.910000000	1.35      	1.35      	1.35      	1.35      	1.35      	1.35000000	1.35000000	.000000000	.000000000	.000000000	.000000000	1.35000000	1.35000000	1.35000000	1.35000000	1.35000000	1.35000000	.000000000	.000000000	.000000000	.000000000	.000000000	.000000000	1.35000000	13
		901	FOBR	============	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	05355040040	Y	B		N	0.93000000	1.35000000	.0	0	0	0	0	0	3500	2596	3600	0	0	0	0	0	0	0	0	6100	4400	0	0	0	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	0	0	3500	2596	3600	0	0	0	0	0	0	0	0	6100	4400	0	0	0	0	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20110406		0	0	0	0	0	0	0	0	0	0	0	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.35000000	1.35000000	1.35000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.35000000	1.35000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
	SKOKOS	510	SYML	137379	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00788040040	Y	B	A	N	1.03      	3.00000000	0.0	0	0	0	1656	0	1388	0	0	0	0	0	0	0	0	0	2132	1156	0	0	0	0	0	0	0	0	0	2028	0	52	1180	0	0	0	0	0	0	0	0	0	1656	0	1388	0	0	0	0	0	0	0	0	0	2132	1156	0	0	0	0	0	0	0	0	0	2028	0	52	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20090130		0	0	0	0	0	0	0	0	0	0	0	0	1.03000000	3.00000000	3.00000000	3.00000000	3.00000000	.000000000	3.00000000	.000000000	.000000000	.000000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	.000000000	.000000000	.000000000	3.00000000	3.00000000	.000000000	3.00000000	13
	STORY	510	SYML	151623	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00805040040	N	C	E	N	1.03      	3.00000000	0.0	0	0	0	240	400	0	0	0	0	0	0	0	0	0	240	0	240	360	0	0	0	0	0	0	0	0	0	520	264	0	0	0	0	0	0	0	0	0	0	240	400	0	0	0	0	0	0	0	0	0	240	0	240	360	0	0	0	0	0	0	0	0	0	520	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20120403		0	0	0	0	0	0	0	0	0	0	0	0	1.03000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	.000000000	.000000000	.000000000	.000000000	.000000000	.000000000	3.00000000	3.00000000	3.00000000	3.00000000	.000000000	3.00000000	3.00000000	.000000000	.000000000	.000000000	.000000000	3.00000000	3.00000000	13
	SKOKOS	510	SYML	157554	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00788040040	Y	D		Y	1.03      	3.00000000	48.2	29	0	0	56	2	0	0	0	0	0	0	0	0	101	63	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	56	2	0	0	0	0	0	0	0	0	101	63	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	4	106	0	0	55	20141031		0	0	0	0	0	0	0	0	0	0	0	0	1.03000000	3.00000000	.000000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13
	OPFELL	510	SYML	9999999	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	N	D		N	1.03      	2.93      	0.0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20150827		0	0	0	0	0	0	0	0	0	0	0	0	1.03000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	.000000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6
		510	SYML	============	10900300	PFZ WNTBR 8IN SALAD PLATE	025398127306	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.03000000	3.00000000	.0	42	0	0	1952	403	1388	0	0	0	0	0	0	0	101	303	2144	1396	360	0	0	0	0	0	0	0	0	2028	520	316	1180	0	0	0	0	0	0	42	0	0	1952	403	1388	0	0	0	0	0	0	0	101	303	2144	1396	360	0	0	0	0	0	0	0	0	2028	520	316	1180	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	4	106	0	0	55	20150827		0	0	0	0	0	0	0	0	0	0	0	0	1.03000000	3.00000000	0.00000000	0.00000000	3.00000000	3.00000000	3.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	3.00000000	3.00000000	3.00000000	3.00000000	3.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
	WANG	550	1000	135930	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00235040040	Y	C		N	1.82      	4.00000000	0.0	0	84	364	240	0	0	0	0	0	0	0	0	60	498	222	0	84	0	0	0	0	24	18	0	0	156	568	82	18	24	0	0	0	0	0	0	0	84	364	240	0	0	0	0	0	0	0	0	60	498	222	0	84	0	0	0	0	24	18	0	0	156	568	82	18	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20130806		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	13
	DIXON	550	1000	140950	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.82      	7.00000000	0.0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20151103		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	7.00000000	7.00000000	7.00000000	.000000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3
	HABERKOR	550	1000	155438	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	A	E	Y	1.82      	7.99      	57.2	287	1251	493	81	36	28	83	22	22	19	23	142	2086	5651	1203	254	70	52	65	25	17	18	23	120	2395	4128	943	303	71	95	82	1343	0	0	12	11	287	1251	493	81	36	28	83	22	22	19	23	142	2086	5651	1203	254	70	52	65	25	17	18	23	120	2395	4128	943	303	71	95	82	1343	0	0	12	11	96	36	36	1	24	84	32	7	260	600	1400	432	36	8	5	1	28	5	7	7	24	75	315	136	20090506		146	0	0	0	0	0	0	0	0	0	0	0	1.82000000	4.74000000	7.21000000	7.99000000	7.99000000	7.99000000	7.99000000	1.06000000	3.07000000	5.46000000	4.96000000	5.34000000	1.16000000	.900000000	1.65000000	3.00000000	3.60000000	6.15000000	2.30000000	3.49000000	3.58000000	3.94000000	4.44000000	5.16000000	3.05000000	13
	WANG	550	1000	155557	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00235040040	Y	D	E	N	1.82      	4.2       	0.0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20150412		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	4.2       	4.2       	4.2       	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10
	DIXON	550	1000	155619	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.82      	7.00000000	0.0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20121228		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	7.00000000	4.00000000	4.00000000	13
	HABERKOR	550	1000	157541	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	C		N	1.82      	4.00000000	0.0	74	95	16	3	0	11	4	9	3	6	33	16	131	187	7	3	0	0	2	1	0	0	0	5	24	26	5	0	0	2	1	41	0	0	0	0	74	95	16	3	0	11	4	9	3	6	33	16	131	187	7	3	0	0	2	1	0	0	0	5	24	26	5	0	0	2	1	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20100310		5	0	0	0	0	0	0	0	0	0	0	0	1.82000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	4.00000000	4.00000000	.000000000	4.00000000	4.00000000	4.00000000	4.00000000	13
	HABERKOR	550	1000	159600	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	D		N	1.82      	5.99      	0.0	16	94	18	10	0	0	0	0	0	2	4	4	55	83	13	5	0	0	0	0	8	0	4	0	76	112	2	34	0	0	0	1	0	0	0	0	16	94	18	10	0	0	0	0	0	2	4	4	55	83	13	5	0	0	0	0	8	0	4	0	76	112	2	34	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20111114		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	5.99000000	6.73000000	7.99000000	7.99000000	7.99      	7.99      	7.99      	7.99      	7.99      	7.99000000	7.99000000	7.99000000	2.50000000	4.21000000	5.53000000	7.99000000	7.99000000	7.99000000	7.99000000	7.99000000	7.99000000	5.99000000	5.99000000	5.99000000	13
	OPFELL	550	1000	9999999	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	N	C		Y	1.82      	2.4       	50.5	0	8	27	8	14	1	0	0	0	0	4	0	4	22	5	0	1	0	1	0	1	0	8	5	10	27	10	0	0	1	0	0	0	0	0	0	0	8	27	8	14	1	0	0	0	0	4	0	4	22	5	0	1	0	1	0	1	0	8	5	10	27	10	0	0	1	0	0	0	0	0	0	3	6	0	1	0	1	1	7	4	12	17	4	3	6	0	1	0	1	1	7	4	12	17	4	20150923		0	0	0	0	0	0	0	0	0	0	0	0	1.82000000	2.40000000	6.43000000	7.50000000	7.50000000	7.50000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	0.95000000	0.95000000	1.52000000	2.38000000	3.33000000	.000000000	4.61000000	3.32000000	3.31000000	4.24000000	4.46000000	4.12000000	5.20000000	4.00000000	13
		550	1000	============	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00000040040	Y	C		N	1.82000000	7.82060606	.0	378	1538	921	358	58	40	87	35	25	27	64	162	2336	6441	1450	274	155	66	68	26	26	42	53	130	2505	4453	1536	419	89	122	83	1385	0	0	12	11	378	1538	921	358	58	40	87	35	25	27	64	162	2336	6441	1450	274	155	66	68	26	26	42	53	130	2505	4453	1536	419	89	122	83	1385	0	0	12	11	99	42	36	2	24	85	33	14	264	612	1417	436	39	14	5	2	28	6	8	14	28	87	332	140	20150923		151	0	0	0	0	0	0	0	0	0	0	0	1.82000000	4.65402116	6.80219115	6.32615635	5.15946927	7.32137931	6.79300000	1.19517241	3.75828571	5.28480000	4.97111111	4.54031250	1.60913580	1.19220034	1.93540444	3.18175172	3.83339416	4.97490322	3.29696969	3.50235294	3.44230769	5.20615384	4.18857142	4.83471698	3.12307692	
	KANTER	901	FOBR	103239	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	01258040040	N	B		N	1.58      	1.7       	0.0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20140605		0	0	0	0	0	0	0	0	0	0	0	0	1.58000000	1.7       	1.7       	1.7       	1.7       	1.7       	1.7       	1.7       	1.90000000	.000000000	.000000000	.000000000	1.70000000	1.70000000	1.70000000	1.70000000	1.70000000	1.70000000	1.80000000	.000000000	.000000000	0.000	0.000	0.000	0.000	13
	KANTER	901	FOBR	114202	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	05355040040	N	B		N	1.58      	1.8       	0.0	0	0	0	0	0	5000	3496	0	0	0	0	0	0	0	0	0	8500	0	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	0	0	5000	3496	0	0	0	0	0	0	0	0	0	8500	0	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20110406		0	0	0	0	0	0	0	0	0	0	0	0	1.58000000	1.8       	1.8       	1.8       	1.8       	1.8       	2.00000000	1.80000000	.000000000	.000000000	.000000000	.000000000	1.80000000	1.80000000	1.80000000	1.80000000	1.80000000	1.80000000	.000000000	.000000000	.000000000	.000000000	.000000000	.000000000	1.80000000	13
		901	FOBR	============	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	05355040040	Y	B		N	1.61000000	1.80000000	.0	0	0	0	0	0	5000	3496	4200	0	0	0	0	0	0	0	0	8500	4400	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	0	0	5000	3496	4200	0	0	0	0	0	0	0	0	8500	4400	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20110406		0	0	0	0	0	0	0	0	0	0	0	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.00000000	1.80000000	1.90000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.80000000	1.80000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
	SKOKOS	510	SYML	101407	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00594040040	Y	C	E	N	1.76      	4.00000000	0.0	0	0	0	240	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20150325		0	0	0	0	0	0	0	0	0	0	0	0	1.76000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	.000000000	.000000000	.000000000	.000000000	4.00000000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11
	SKOKOS	510	SYML	137379	10900400	PFZ WNTBR 10.5 IN DINNER	025398127313	10	40040PFALTZGRAFF	DINNERWARE00101110	00788040040	Y	B	A	N	1.76      	4.00000000	0.0	0	0	0	2732	0	1672	0	0	0	0	0	0	0	0	0	3360	1828	0	0	0	0	0	0	0	0	0	3876	0	76	2060	0	0	0	0	0	0	0	0	0	2732	0	1672	0	0	0	0	0	0	0	0	0	3360	1828	0	0	0	0	0	0	0	0	0	3876	0	76	2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20090130		0	0	0	0	0	0	0	0	0	0	0	0	1.76000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	4.00000000	.000000000	.000000000	.000000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	4.00000000	.000000000	.000000000	.000000000	4.00000000	4.00000000	.000000000	4.00000000	13
