KAPPL	KSCHL	VKORG	ZZ_MVGR5	KUNNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	178	135852	2015/12/31	1117	2015/04/01	0003948738
V	ZRP1	SYCF	178	135852	2016/12/31	1444	2016/01/01	0004183645
V	ZRP1	SYCF	178	136387	2015/12/31	1117	2015/04/01	0003948741
V	ZRP1	SYCF	178	136387	2016/12/31	1444	2016/01/01	0004183644
V	ZRP1	SYCF	178	137740	2015/12/31	1117	2015/04/01	0003948728
V	ZRP1	SYCF	178	137740	2016/12/31	1444	2016/01/01	0004183643
V	ZRP1	SYCF	178	138155	2015/12/31	1117	2015/04/01	0003948733
V	ZRP1	SYCF	178	138155	2016/12/31	1444	2016/01/01	0004183642
V	ZRP1	SYCF	178	139210	2015/12/31	1117	2015/04/01	0003948725
V	ZRP1	SYCF	178	139210	2016/12/31	1444	2016/01/01	0004183641
V	ZRP1	SYCF	178	139217	2015/12/31	1117	2015/04/01	0003948721
V	ZRP1	SYCF	178	139217	2016/12/31	1444	2016/01/01	0004183640
V	ZRP1	SYCF	178	139218	2015/12/31	1117	2015/04/01	0003948722
V	ZRP1	SYCF	178	139218	2016/12/31	1444	2016/01/01	0004183639
V	ZRP1	SYCF	178	140802	2015/12/31	1117	2015/04/01	0003948744
V	ZRP1	SYCF	178	140802	2016/12/31	1444	2016/01/01	0004183638
V	ZRP1	SYCF	178	142211	2015/12/31	1117	2015/04/01	0003948724
V	ZRP1	SYCF	178	142211	2016/12/31	1444	2016/01/01	0004183637
V	ZRP1	SYCF	178	142218	2015/12/31	1117	2015/04/01	0003948727
V	ZRP1	SYCF	178	142218	2016/12/31	1444	2016/01/01	0004183636
V	ZRP1	SYCF	178	150571	2015/12/31	1117	2015/04/01	0003948742
V	ZRP1	SYCF	178	150571	2016/12/31	1444	2016/01/01	0004183635
V	ZRP1	SYCF	178	158985	2015/12/31	1117	2015/04/01	0003948726
V	ZRP1	SYCF	178	158985	2016/12/31	1444	2016/01/01	0004183634
V	ZRP1	SYCF	178	161663	2015/12/31	1117	2015/04/01	0003948737
V	ZRP1	SYCF	178	161663	2016/12/31	1444	2016/01/01	0004183633
V	ZRP1	SYCF	AAP	101813	2015/12/31	949	2015/04/01	0003948830
V	ZRP1	SYCF	AAP	101813	2016/12/31	1377	2016/01/01	0004182234
V	ZRP1	SYCF	AAP	103726	2015/12/31	949	2015/04/01	0003948831
V	ZRP1	SYCF	AAP	103726	2016/12/31	1377	2016/01/01	0004182233
V	ZRP1	SYCF	AAP	103866	2015/12/31	949	2015/04/01	0003948834
V	ZRP1	SYCF	AAP	103866	2016/12/31	1377	2016/01/01	0004182232
V	ZRP1	SYCF	AAP	108023	2015/12/31	949	2015/04/01	0003948840
V	ZRP1	SYCF	AAP	108023	2016/12/31	1377	2016/01/01	0004182231
V	ZRP1	SYCF	AAP	109454	2015/12/31	949	2015/04/01	0003948847
V	ZRP1	SYCF	AAP	109454	2016/12/31	1377	2016/01/01	0004182230
V	ZRP1	SYCF	AAP	110697	2015/12/31	949	2015/04/01	0003948841
V	ZRP1	SYCF	AAP	110697	2016/12/31	1377	2016/01/01	0004182229
V	ZRP1	SYCF	AAP	111796	2015/12/31	949	2015/04/01	0003948842
V	ZRP1	SYCF	AAP	111796	2016/12/31	1377	2016/01/01	0004182228
V	ZRP1	SYCF	AAP	114202	2015/12/31	949	2015/04/01	0003948843
V	ZRP1	SYCF	AAP	114202	2016/12/31	1377	2016/01/01	0004182227
V	ZRP1	SYCF	AAP	114410	2015/12/31	949	2015/04/01	0003948845
V	ZRP1	SYCF	AAP	114410	2016/12/31	1377	2016/01/01	0004182226
V	ZRP1	SYCF	AAP	114602	2015/12/31	949	2015/04/01	0003948851
V	ZRP1	SYCF	AAP	114602	2016/12/31	1377	2016/01/01	0004182225
V	ZRP1	SYCF	AAP	120451	2015/12/31	949	2015/04/01	0003948850
V	ZRP1	SYCF	AAP	120451	2016/12/31	1377	2016/01/01	0004182224
V	ZRP1	SYCF	AAP	121059	2015/12/31	949	2015/04/01	0003948854
V	ZRP1	SYCF	AAP	121059	2016/12/31	1377	2016/01/01	0004182223
V	ZRP1	SYCF	AAP	135647	2015/12/31	949	2015/04/01	0003948846
V	ZRP1	SYCF	AAP	135647	2016/12/31	1377	2016/01/01	0004182222
V	ZRP1	SYCF	AAP	135852	2015/12/31	949	2015/04/01	0003948849
V	ZRP1	SYCF	AAP	135852	2016/12/31	1377	2016/01/01	0004182221
V	ZRP1	SYCF	AAP	136387	2015/12/31	949	2015/04/01	0003948852
V	ZRP1	SYCF	AAP	136387	2016/12/31	1377	2016/01/01	0004182220
V	ZRP1	SYCF	AAP	137740	2015/12/31	949	2015/04/01	0003948839
V	ZRP1	SYCF	AAP	137740	2016/12/31	1377	2016/01/01	0004182219
V	ZRP1	SYCF	AAP	138155	2015/12/31	949	2015/04/01	0003948844
V	ZRP1	SYCF	AAP	138155	2016/12/31	1377	2016/01/01	0004182218
V	ZRP1	SYCF	AAP	139210	2015/12/31	949	2015/04/01	0003948836
V	ZRP1	SYCF	AAP	139210	2016/12/31	1377	2016/01/01	0004182217
V	ZRP1	SYCF	AAP	139217	2015/12/31	949	2015/04/01	0003948832
V	ZRP1	SYCF	AAP	139217	2016/12/31	1377	2016/01/01	0004182216
V	ZRP1	SYCF	AAP	139218	2015/12/31	949	2015/04/01	0003948833
V	ZRP1	SYCF	AAP	139218	2016/12/31	1377	2016/01/01	0004182215
V	ZRP1	SYCF	AAP	140802	2015/12/31	949	2015/04/01	0003948855
V	ZRP1	SYCF	AAP	140802	2016/12/31	1377	2016/01/01	0004182214
V	ZRP1	SYCF	AAP	142211	2015/12/31	949	2015/04/01	0003948835
V	ZRP1	SYCF	AAP	142211	2016/12/31	1377	2016/01/01	0004182213
V	ZRP1	SYCF	AAP	142218	2015/12/31	949	2015/04/01	0003948838
