Item Num,Item Description,Material Status,OH Qty,OH Cost,Landed Cost,Excess 6 Mo.,Excess 6M C,Gr.Req.6Mo,Gr.Req.6M C,MOQ,Gr.Req.7Mo,Gr.Req.7M C,GrReg7-12less,Hist 6 Mo,Hist 6M CST,Hist 12 Mo,Hist 12M CS,Merc Type,Product Hierarchy,Brand,Category,Sub-Category,ABC,Ticketed For,MSRP,MAP,SAP,New MSRP,MSSP,Tckt Prc,Plant,Inner Pack,Master Pack,Catlg Prc,Profit Ctr,MRP Controller,Sfty Ind.,Sfty wkdays,UPC #,Excess 9 Mo.,Excess 9M C,Gr.Req.9Mo,Gr.Req.9M C,Material Text1,Material Text2,Material Text3,Material Text4,Material Text5,Material Text6,Material Text7,XDst Status,Mate
5057709,MKSA WOVEN CABLE GOLD VEG BOWL,40,66,931.92,14.12,66,931.92,0,0,250,0,0,     250.000-,7,98.84,17,240.04,BXD,MIKASA DINNERWARE FORMAL DINNERWARE,MIKASA,DINNERWARE,FORMAL DINNERWARE,C,9999,115,0,0,115,79.99,0,SYML,0,6,40,40050,505,,0,8.85991E+11,66,931.92,0,0,,,,,,,,,ZITM
5110743,MKSA SWIRL ALUMINUM ROUND TRAY,10,79,1064.92,13.48,69,930.12,10,134.8,1,2,0,1,38,511.58,69,919.27,BXD,MIKASA GIFTWARE,MIKASA,GIFTWARE,,C,,0,0,0,75,49.99,0,SYML,0,6,25,US-METALS,513,1,0,8.85991E+11,69,930.12,10,134.8,,,,,,,,,ZITM
5061898,CASA 9PC SS 2QT FONDUE QTR PLT,21,8,929.92,116.24,8,929.92,0,0,0,0,0,0,0,0,0,0,PLD,CASAMODA ENTERTAINING FONDUES,CASAMODA,ENTERTAINING,FONDUES,C,9999,300,0,246.4,300,0,0,SYML,0,16,176,40020,302,,0,15388032215,8,929.92,0,0,,,,,,,,,ZITM
5057624,MKSA MODERNIST BLACK CREAMER 9,21,133,929.67,6.99,133,929.67,0,0,100,0,0,     100.000-,6,42.02,6,42.02,BXD,MIKASA DINNERWARE FORMAL DINNERWARE,MIKASA,DINNERWARE,FORMAL DINNERWARE,C,9999,86,0,0,86,59.99,0,SYML,1,12,30,40050,505,,0,8.85991E+11,133,929.67,0,0,,,,,,,,,ZITM
5130749,MKSA SWIRL CHOC DEMITASSE CUP,21,340,1224,3.6,258,928.8,82,295.2,400,74,0,     326.000-,42,151.2,46,165.6,BXD,MIKASA-DTC SERVEWARE,MIKASA-DTC,SERVEWARE,,C,,0,0,0,22,14.99,0,SYML,0,16,7.5,25100,501,,0,25398114610,222,799.2,118,424.8,,,,,,,,,ZITM
5136686,PL 15OZ MUG GRY REACT ANIML WX,21,899,925.97,1.03,899,925.97,0,0,0,0,0,0,28,28.94,7334,7919.42,BXD,PRIVATE LABEL DINNERWARE,PRIVATE LABEL,DINNERWARE,,C,568,0,0,0,5.99,4.99,0,SYML,0,2,1.95,40040,551,,0,25398120871,899,925.97,0,0,,,,,,,,,ZITM
5094566,CA 14OZ SS COF MUG DW W TGR HA,40,90,925.2,10.28,90,925.2,0,0,0,0,0,0,0,0,9,92.52,OSS,CUISINART HYDRATION HOT,CUISINART,HYDRATION,HOT,C,,0,0,0,19.99,19.99,0,SYML,0,1,15.8,40025,605,,0,24131194162,90,925.2,0,0,,,,,,,,,ZITM
5110023,MKSA SUTTON TEAL 8.5IN SLD PLT,21,441,1270.08,2.88,321,924.48,120,345.6,1000,90,0,     910.000-,0,0,27,90.29,,MIKASA DINNERWARE CASUAL DINNERWARE,MIKASA,DINNERWARE,CASUAL DINNERWARE,C,4061,0,0,0,19,12.99,0,SYML,6,24,6.5,40050,505,,0,8.85991E+11,231,665.28,210,604.8,,,,,,,,,ZITM
5141775,PFZE 16OZ MUG GREEN SPARKLE FL,10,815,953.55,1.17,790,924.3,25,29.25,2400,7,0,    2393.000-,17,19.89,545,637.65,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,8.99,4.99,0,SYML,0,6,2.5,40040,511,,0,25398126903,787,920.79,28,32.76,,,,,,,,,ZITM
5138145,MKSA LUSTRE 11.5IN GEO GOLD SQ,10,90,922.5,10.25,90,922.5,0,0,300,0,0,     300.000-,0,0,13,131.82,BXD,MIKASA DINNERWARE FORMAL DINNERWARE,MIKASA,DINNERWARE,FORMAL DINNERWARE,C,,0,0,0,58,39.99,0,SYML,0,6,20,40050,515,,0,8.85991E+11,90,922.5,0,0,,,,,,,,,ZITM
5165387,PFZE 16OZ MUG SW DAMASK CREAM,10,888,967.92,1.09,846,922.14,42,45.78,2400,0,0,    2400.000-,2106,2329.38,2106,2329.38,OSS,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,C,,0,0,0,6,4.99,0,SYML,0,6,2.5,40040,511,1,0,25398145546,846,922.14,42,45.78,,,,,,,,,ZITM
5103838,PFZE RTCLV 14X9IN  RECT PLATTE,10,729,3615.84,4.96,185,917.6,544,2698.24,0,296,0,296,191,947.78,495,2458.26,BUL,PFALTZGRAFF DINNERWARE CASUAL DINNERWARE,PFALTZGRAFF,DINNERWARE,CASUAL DINNERWARE,B,,0,0,0,34.99,24.99,0,SYML,0,4,12.5,40040,511,,0,25398096817,0,0,745,3695.2,,,,,,,,,ZITM
