from,to,weight,type
   E8,E9,52.0,(E8&E9)
 D12,D11,-52.0,(D12&D11)
 D11,D12,52.0,(D11&D12)
   F20,F19,-52.0,(F20&F19)
 F19,F20,52.0,(F19&F20)
   H26,G26,-60.0,(H26&G26)
H26,H25,-52.0,(H26&H25)
       J13,H13,-60.0,(J13&H13)
    G16,G17,52.0,(G16&G17)
 H18,G18,-60.0,(H18&G18)
H18,H17,-52.0,(H18&H17)
        D3,C3,-60.0,(D3&C3)
  E9,E8,-52.0,(E9&E8)
  H10,G10,-60.0,(H10&G10)
 G17,F17,-50.0,(G17&F17)
G17,G16,-52.0,(G17&G16)
G17,G18,52.0,(G17&G18)
 G18,G17,-52.0,(G18&G17)
G17,H17,60.0,(G17&H17)
 H17,G17,-60.0,(H17&G17)
H17,H18,52.0,(H17&H18)
 G23,G24,52.0,(G23&G24)
 G24,G23,-52.0,(G24&G23)
 H25,H26,52.0,(H25&H26)
   
