Target March 2016 Kizmos Color End Cap,,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.50,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,,,,,,,Target March 2016 Kizmos Color End Cap,,$1.50,$1.50,$1.50,
 FC ,, $0.28 , $0.28 , $0.23 , $0.28 , $0.28 , $0.22 , $0.28 , $0.28 , $0.22 , $0.37 , $0.37 , $0.37 , $0.28 , $0.28 , $0.24 , $0.28 , $0.28 , $0.24 , $0.25 , $0.25 , $0.23 , $0.41 , $0.55 , $0.55 , $0.52 , $0.67 , $0.67 , $0.63 , $0.55 , $0.55 , $0.55 , $0.53 , $0.53 , $0.53 , $0.56 , $0.56 , $0.56 , $0.49 , $0.49 , $0.49 , $0.49 , $0.49 , $0.49 ,,,,,,,,,,,,,,,, FC , FC ,, $0.56 , $0.56 , $0.56 ,
 LC ,, $0.37 , $0.37 , $0.31 , $0.37 , $0.37 , $0.29 , $0.37 , $0.37 , $0.29 , $0.47 , $0.47 , $0.47 , $0.37 , $0.37 , $0.32 , $0.37 , $0.37 , $0.32 , $0.33 , $0.33 , $0.31 , $0.52 , $0.69 , $0.69 , $0.65 , $0.83 , $0.83 , $0.79 , $0.69 , $0.69 , $0.69 , $0.67 , $0.67 , $0.67 , $0.70 , $0.70 , $0.70 , $0.62 , $0.62 , $0.62 , $0.62 , $0.62 , $0.62 , $3.00 , $30.00 ,,,,,,,,,,,,,, LC , LC ,, $0.70 , $0.70 , $0.70 ,
Includes $.03 for flag tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes $.03 for flag tag,,,,,
,,2 for $4,,,,,,,,,,,,,,,,,,,,,,,,,CDU,CDU,CDU,CDU,CDU,CDU,CDU,CDU,CDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Step fixture,Crocks,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
