from,to,weight,type
E3,D3,-50,hyperlink
E3,E2,-52,mention
E2,F2,50,hyperlink
E3,E4,52,mention
F8,E8,-50,hyperlink
F8,F7,-52,mention
F7,G7,50,mention
F8,F9,52,hyperlink
G5,F5,-50,hyperlink
G5,G4,-52,hyperlink
G4,H4,60,mention
G5,G6,52,hyperlink
C11,B11,-59.8,hyperlink
C11,C10,-52,mention
C10,D10,60,hyperlink
C11,C12,52,hyperlink
C12,B12,-59.8,mention
C12,C11,-52,hyperlink
C11,D11,60,mention
C12,C13,52,hyperlink
J13,H13,-60,mention
G18,F18,-50,hyperlink
G18,G17,-52,mention
G17,H17,60,mention
G18,G19,52,hyperlink
F16,E16,-50,hyperlink
F16,F15,-52,hyperlink
F15,G15,50,mention
F16,F17,52,hyperlink
J17,H17,-60,hyperlink
G27,F27,-50,mention
G27,G26,-52,hyperlink
G26,H26,60,hyperlink
G27,G28,52,mention
E21,D21,-50,hyperlink
E21,E20,-52,mention
E20,F20,50,hyperlink
E21,E22,52,mention
F22,E22,-50,hyperlink
F22,F21,-52,mention
F21,G21,50,mention
F22,F23,52,hyperlink
E32,D32,-50,hyperlink
E32,E31,-52,hyperlink
E31,F31,50,mention
E32,E33,52,hyperlink
H36,G36,-60,hyperlink
H36,H35,-52,mention
H35,J35,60,hyperlink
H36,H37,52,hyperlink
D36,C36,-60,mention
D36,D35,-52,hyperlink
D35,E35,50,mention
D36,D37,52,hyperlink
E7,D7,-50,mention
E7,E6,-52,hyperlink
E6,F6,50,mention
E7,E8,52,mention
F6,E6,-50,hyperlink
F6,F5,-52,hyperlink
F5,G5,50,hyperlink
F6,F7,52,mention
C5,B5,-59.8,hyperlink
C5,C4,-52,hyperlink
C4,D4,60,mention
C5,C6,52,hyperlink
D10,C10,-60,hyperlink
D10,D9,-52,mention
D9,E9,50,hyperlink
D10,D11,52,mention
G10,F10,-50,hyperlink
G10,G9,-52,mention
G9,H9,60,hyperlink
G10,G11,52,mention
E9,D9,-50,mention
E9,E8,-52,hyperlink
E8,F8,50,hyperlink
E9,E10,52,hyperlink
H16,G16,-60,mention
H16,H15,-52,hyperlink
H15,J15,60,hyperlink
H16,H17,52,mention
F18,E18,-50,hyperlink
F18,F17,-52,hyperlink
F17,G17,50,mention
F18,F19,52,hyperlink
H17,G17,-60,mention
H17,H16,-52,hyperlink
H16,J16,60,mention
H17,H18,52,hyperlink
H24,G24,-60,mention
H24,H23,-52,mention
H23,J23,60,hyperlink
H24,H25,52,hyperlink
J23,H23,-60,hyperlink
D21,C21,-60,mention
D21,D20,-52,hyperlink
D20,E20,50,hyperlink
D21,D22,52,mention
J34,H34,-60,hyperlink
F36,E36,-50,hyperlink
F36,F35,-52,mention
F35,G35,50,hyperlink
F36,F37,52,mention
G34,F34,-50,hyperlink
G34,G33,-52,mention
G33,H33,60,hyperlink
G34,G35,52,mention
J6,H6,-60,mention
G7,F7,-50,hyperlink
G7,G6,-52,hyperlink
G6,H6,60,hyperlink
G7,G8,52,mention
H7,G7,-60,hyperlink
H7,H6,-52,hyperlink
H6,J6,60,mention
H7,H8,52,hyperlink
H10,G10,-60,hyperlink
H10,H9,-52,mention
H9,J9,60,hyperlink
H10,H11,52,mention
C13,B13,-59.8,hyperlink
C13,C12,-52,mention
C12,D12,60,hyperlink
C13,C14,52,mention
J10,H10,-60,mention
G15,F15,-50,hyperlink
G15,G14,-52,hyperlink
G14,H14,60,hyperlink
G15,G16,52,mention
F19,E19,-50,hyperlink
F19,F18,-52,hyperlink
F18,G18,50,mention
F19,F20,52,hyperlink
H14,G14,-60,hyperlink
H14,H13,-52,mention
H13,J13,60,hyperlink
H14,H15,52,mention
C24,B24,-59.8,hyperlink
C24,C23,-52,mention
C23,D23,60,hyperlink
C24,C25,52,mention
F23,E23,-50,mention
F23,F22,-52,hyperlink
F22,G22,50,hyperlink
F23,F24,52,hyperlink
G26,F26,-50,mention
G26,G25,-52,hyperlink
G25,H25,60,hyperlink
G26,G27,52,mention
J36,H36,-60,hyperlink
J37,H37,-60,hyperlink
E31,D31,-50,mention
E31,E30,-52,hyperlink
E30,F30,50,mention
E31,E32,52,hyperlink
