,"AAFES
50%","At Home
52%","Bealls Dept Store
50%","Bealls Outlet
50%","Bed Bath & Beyond Tools & Gadgets Hoan
65%","Bed Bath & Beyond Cutlery
50%","Bed Bath & Beyond Cookware
65%","Bed Bath & Beyond Kamenstein
55%","Bed Bath & Beyond Fred & Friends
65%","Bed Bath & Beyond Built
65%","Belk
50%","Chef's Catalog
50%","Dillard's
50%","JCPenney Tools & Gadgets 
50%","JCPenney Casamoda
50%","JCPenney Cutlery
50%","JCPenney Kamenstein
50%","JCPenney Fred & Friends
50%","JCPenney Built
50%","Marine Corps Exchange
50%","Michaels
50%","Navy Exchange
50%","Overstock
50%","SteinMart
50%","The Container Store 
50%","Tuesday Morning
50%","BrandsMart
50%",,"QVC
50%",
PROMO. DISCOUNT,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PROMO. DISCOUNT,0.00%,PROMO. DISCOUNT,0.00%
SERVICE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SERVICE,3.00%,SERVICE,0.00%
INVENTORY,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MOTION POINT / SKU SET UP,2.00%,INVENTORY,0.00%
MARKDOWN,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MARKDOWN,0.50%,CFTC DONATION,0.00%
SALVAGE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,INVENTORY,0.00%,DNN,0.00%
PLACEMENT,0.00%,0.00%,0.00%,2.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,PLACEMENT,0.00%,HOST,5.00%
ADVERTISING,5.00%,6.00%,6.00%,0.00%,3.00%,3.00%,3.00%,3.00%,1.00%,3.00%,5.00%,0.00%,10.00%,7.00%,7.00%,7.00%,7.00%,7.00%,7.00%,5.00%,0.00%,5.00%,1.00%,0.00%,0.00%,0.00%,ADVERTISING,5.00%,ADVERTISING,0.00%
DEFECTIVE ALL.,1.00%,0.50%,1.00%,0.00%,3.50%,2.00%,3.50%,3.50%,3.50%,3.50%,2.00%,0.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.50%,1.00%,5.00%,1.50%,1.00%,0.00%,DEFECTIVE ALL.,1.00%,DEFECTIVE ALL.,3.50%
BANNER COST,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,BANNER COST,0.00%,BANNER COST,0.00%
REBATE,0.00%,0.00%,0.00%,0.00%,4.00%,2.50%,4.00%,4.00%,4.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,REBATE,1.50%,REBATE,4.00%
MISC.,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,2.50%,2.50%,2.50%,2.50%,0.00%,0.00%,0.00%,2.50%,2.50%,2.50%,2.50%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,2.50%,MISC.,0.00%,MISC.,0.00%
DNN,0.00%,0.00%,0.00%,0.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,0.00%,0.00%,2.00%,5.00%,2.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,2.00%,0.00%,0.00%,DNN,0.00%,DNN,0.00%
NEW STORES,0.00%,3.50%,0.25%,0.00%,0.25%,0.25%,1.00%,0.25%,1.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NEW STORES,0.00%,Qform SET UP,0.75%
NET SELLING PRICE,6.00%,10.00%,9.25%,2.00%,15.25%,9.75%,16.00%,15.25%,14.00%,15.25%,10.50%,0.00%,11.00%,12.50%,15.50%,12.50%,15.50%,10.50%,10.50%,6.00%,1.50%,6.00%,7.00%,3.50%,3.50%,2.50%,NET SELLING PRICE,13.00%,NET SELLING PRICE,13.25%
PICK & PACK,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,FREIGHT,3.00%,PICK & PACK,0.00%
ADDITIONAL DEFECTIVE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ADDITIONAL DEFECTIVE,0.00%,ADDITIONAL DEFECTIVE,0.00%
PRODUCT DEV.,0.00%,1.00%,0.00%,0.00%,1.50%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.00%,4.00%,1.50%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,PRODUCT DEV.,0.00%,COMM,0.00%
ROYALTY,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ROYALTY,0.00%,ROYALTY,0.00%
TERMS,1.00%,2.00%,1.00%,0.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,1.00%,1.50%,1.50%,1.50%,1.50%,1.50%,0.00%,0.00%,1.00%,1.00%,1.00%,1.00%,1.00%,2.00%,1.00%,TERMS,1.00%,TERMS,2.00%
COMM,4.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.00%,4.00%,3.00%,5.00%,0.00%,0.00%,COMM,5.00%,COMM,5.00%
C.G.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,C.G.S.,,C.G.S.,
TOTAL C.G.S.,5.00%,4.00%,6.00%,0.00%,3.50%,2.00%,2.00%,3.50%,2.00%,2.00%,2.00%,6.00%,5.50%,3.00%,1.50%,1.50%,3.00%,0.00%,0.00%,5.00%,1.00%,5.00%,4.00%,6.00%,6.00%,1.00%,TOTAL C.G.S.,9.00%,TOTAL C.G.S.,7.00%
