KAPPL	KSCHL	VKORG	MATNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CAV	2016/12/31	1496	2016/01/01	4183819
V	ZRP1	SYCF	CBVOL	2015/12/31	1169	2015/04/01	3930221
V	ZRP1	SYCF	CBVOL	2016/12/31	1496	2016/01/01	4183818
V	ZRP1	SYCF	CRST	2015/12/31	1169	2015/04/01	3930222
V	ZRP1	SYCF	CRST	2016/12/31	1496	2016/01/01	4183817
V	ZRP1	SYCF	CSTICK	2015/12/31	1129	2015/04/01	3930127
V	ZRP1	SYCF	CSTICK	2016/12/31	1456	2016/01/01	4183714
V	ZRP1	SYCF	DAILYM	2015/12/31	1177	2015/04/01	3930283
V	ZRP1	SYCF	DAILYM	2016/12/31	1504	2016/01/01	4183875
V	ZRP1	SYCF	DDOB	2015/12/31	1170	2015/04/01	3930260
V	ZRP1	SYCF	DDOB	2016/12/31	1497	2016/01/01	4183852
V	ZRP1	SYCF	DDOG	2015/12/31	1170	2015/04/01	3930261
V	ZRP1	SYCF	DDOG	2016/12/31	1497	2016/01/01	4183853
V	ZRP1	SYCF	DELI	2015/12/31	1142	2015/04/01	3930148
V	ZRP1	SYCF	DELI	2016/12/31	1469	2016/01/01	4183735
V	ZRP1	SYCF	DSAVE	2015/12/31	1165	2015/04/01	3930203
V	ZRP1	SYCF	DSAVE	2016/12/31	1492	2016/01/01	4183792
V	ZRP1	SYCF	FFOOD	2015/12/31	1165	2015/04/01	3930204
V	ZRP1	SYCF	FFOOD	2016/12/31	1492	2016/01/01	4183793
V	ZRP1	SYCF	FILY	2015/12/31	1169	2015/04/01	3930223
V	ZRP1	SYCF	FILY	2016/12/31	1496	2016/01/01	4183816
V	ZRP1	SYCF	FING	2015/12/31	1157	2015/04/01	3930191
V	ZRP1	SYCF	FING	2016/12/31	1484	2016/01/01	4183780
V	ZRP1	SYCF	FRITZ	2015/12/31	1142	2015/04/01	3930149
V	ZRP1	SYCF	FRITZ	2016/12/31	1469	2016/01/01	4183736
V	ZRP1	SYCF	FRLID	2015/12/31	1169	2015/04/01	3930224
V	ZRP1	SYCF	FRLID	2016/12/31	1496	2016/01/01	4183815
V	ZRP1	SYCF	FUNOWL	2015/12/31	1124	2015/04/01	3930119
V	ZRP1	SYCF	FUNOWL	2016/12/31	1451	2016/01/01	4183705
V	ZRP1	SYCF	GDEAD	2015/12/31	1149	2015/04/01	3930168
V	ZRP1	SYCF	GDEAD	2016/12/31	1476	2016/01/01	4183756
