KAPPL	KSCHL	VKORG	MATNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYUS	PICO	2016/12/31	1361	2016/01/01	4182128
V	ZRP1	SYUS	POLL	2015/12/31	876	2015/04/01	3927944
V	ZRP1	SYUS	POLL	2016/12/31	1313	2016/01/01	4181994
V	ZRP1	SYUS	RANDB	2015/12/31	924	2015/04/01	3928468
V	ZRP1	SYUS	RANDB	2015/12/31	1053	2015/04/01	3929782
V	ZRP1	SYUS	RANDB	2016/12/31	1361	2016/01/01	4182129
V	ZRP1	SYUS	SAYC	2015/12/31	925	2015/04/01	3928487
V	ZRP1	SYUS	SAYC	2015/12/31	1076	2015/04/01	3929891
V	ZRP1	SYUS	SAYC	2016/12/31	1362	2016/01/01	4182160
V	ZRP1	SYUS	SPIKED	2015/12/31	925	2015/04/01	3928488
V	ZRP1	SYUS	SPIKED	2015/12/31	1076	2015/04/01	3929892
V	ZRP1	SYUS	SPIKED	2016/12/31	1362	2016/01/01	4182161
V	ZRP1	SYUS	STOPUP	2015/12/31	900	2015/04/01	3928231
V	ZRP1	SYUS	STOPUP	2015/12/31	1020	2015/04/01	3929675
V	ZRP1	SYUS	STOPUP	2016/12/31	1337	2016/01/01	4182048
V	ZRP1	SYUS	STOPUP	2016/12/31	1415	2016/01/01	4183156
V	ZRP1	SYUS	SVIEW	2015/12/31	913	2015/04/01	3928392
V	ZRP1	SYUS	SVIEW	2015/12/31	1092	2015/04/01	3929993
V	ZRP1	SYUS	SVIEW	2016/12/31	1350	2016/01/01	4182087
V	ZRP1	SYUS	SWTEA	2015/12/31	900	2015/04/01	3928234
V	ZRP1	SYUS	SWTEA	2015/12/31	1020	2015/04/01	3929676
V	ZRP1	SYUS	SWTEA	2016/12/31	1337	2016/01/01	4182049
V	ZRP1	SYUS	SWTEA	2016/12/31	1415	2016/01/01	4183157
V	ZRP1	SYUS	TCAKE	2015/12/31	876	2015/04/01	3927942
V	ZRP1	SYUS	TCAKE	2016/12/31	1313	2016/01/01	4181995
V	ZRP1	SYUS	TNB	2015/12/31	932	2015/04/01	3928506
V	ZRP1	SYUS	TNB	2015/12/31	1067	2015/04/01	3929857
V	ZRP1	SYUS	TNB	2016/12/31	1369	2016/01/01	4182179
V	ZRP1	SYUS	TNB	2016/12/31	1419	2016/01/01	4183183
V	ZRP1	SYUS	TSPINS	2015/12/31	924	2015/04/01	3928469
V	ZRP1	SYUS	TSPINS	2015/12/31	1053	2015/04/01	3929783
V	ZRP1	SYUS	TSPINS	2016/12/31	1361	2016/01/01	4182130
V	ZRP1	SYUS	TUFFD	2015/12/31	911	2015/04/01	3928281
V	ZRP1	SYUS	TUFFD	2015/12/31	1030	2015/04/01	3929706
V	ZRP1	SYUS	TUFFD	2016/12/31	1348	2016/01/01	4182076
V	ZRP1	SYUS	WAKEUP	2015/12/31	904	2015/04/01	3928254
V	ZRP1	SYUS	WAKEUP	2015/12/31	1055	2015/04/01	3929812
V	ZRP1	SYUS	WAKEUP	2016/12/31	1341	2016/01/01	4182062
V	ZRP1	SYUS	WAKEUP	2016/12/31	1417	2016/01/01	4183167
V	ZRP1	SYUS	WINEM	2015/12/31	911	2015/04/01	3928282
V	ZRP1	SYUS	WINEM	2015/12/31	1030	2015/04/01	3929707
V	ZRP1	SYUS	WINEM	2016/12/31	1348	2016/01/01	4182077
V	ZRP1	SYUS	WPL	2015/12/31	920	2015/04/01	3928416
V	ZRP1	SYUS	WPL	2015/12/31	1012	2015/04/01	3929654
V	ZRP1	SYUS	WPL	2016/12/31	1357	2016/01/01	4182098
