KAPPL	KSCHL	VKORG	ZZ_MVGR5	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CPT	2015/12/31	1101	2015/04/01	0003930025
V	ZRP1	SYCF	CPT	2016/12/31	1386	2016/01/01	0004182542
V	ZRP1	SYCF	CPT	2016/12/31	1430	2016/01/01	0004183422
V	ZRP1	SYCF	CPW	2014/12/31	10009-CF	2014/01/01	0003142053
V	ZRP1	SYCF	CPW	2015/12/31	958	2015/04/01	0003929315
V	ZRP1	SYCF	CPW	2016/12/31	1386	2016/01/01	0004182543
V	ZRP1	SYCF	CRM	2014/12/31	10008-CF	2014/01/01	0003142049
V	ZRP1	SYCF	CRM	2015/12/31	956	2015/04/01	0003929306
V	ZRP1	SYCF	CRM	2016/12/31	1384	2016/01/01	0004182255
V	ZRP1	SYCF	CRR	2014/12/31	10008-CF	2014/01/01	0003142044
V	ZRP1	SYCF	CRR	2015/12/31	956	2015/04/01	0003929307
V	ZRP1	SYCF	CRR	2016/12/31	1384	2016/01/01	0004182256
