KAPPL	KSCHL	VKORG	ZZ_MVGR5	DATBI	KNUMA	DATAB	KNUMH
V	ZRL1	SYUS	HAS	2016/12/31	1270	2016/01/01	0004181140
V	ZRL1	SYUS	HAS	2016/12/31	1286	2016/01/01	0004181499
V	ZRL1	SYUS	KMG	2014/12/31	10004-US	2014/01/01	0003141594
V	ZRL1	SYUS	KMG	2015/12/31	807	2015/04/01	0003927344
V	ZRL1	SYUS	KMG	2016/12/31	1247	2016/01/01	0004180539
V	ZRL1	SYUS	MED	2014/12/31	10078-US	2014/01/01	0003141993
V	ZRL1	SYUS	MED	2015/12/31	845	2015/04/01	0003927715
V	ZRL1	SYUS	MED	2015/12/31	1016	2015/04/01	0003929663
V	ZRL1	SYUS	MED	2016/12/31	1284	2016/01/01	0004181487
V	ZRL1	SYUS	MEU	2014/12/31	10078-US	2014/01/01	0003141992
V	ZRL1	SYUS	MEU	2015/12/31	845	2015/04/01	0003927716
V	ZRL1	SYUS	MEU	2015/12/31	1016	2015/04/01	0003929664
V	ZRL1	SYUS	MEU	2016/12/31	1284	2016/01/01	0004181488
V	ZRL1	SYUS	MGB	2014/12/31	10004-US	2014/01/01	0003141595
V	ZRL1	SYUS	MGB	2015/12/31	807	2015/04/01	0003927345
V	ZRL1	SYUS	MGB	2016/12/31	1247	2016/01/01	0004180540
V	ZRL1	SYUS	MIP	2014/12/31	10041-US	2014/01/01	0003141744
V	ZRL1	SYUS	MIP	2015/12/31	846	2015/04/01	0003927723
V	ZRL1	SYUS	MIP	2016/12/31	1285	2016/01/01	0004181489
V	ZRL1	SYUS	MIS	2014/12/31	10041-US	2014/01/01	0003141745
V	ZRL1	SYUS	MIS	2015/12/31	846	2015/04/01	0003927724
V	ZRL1	SYUS	MIS	2016/12/31	1285	2016/01/01	0004181490
V	ZRL1	SYUS	PAM	2015/12/31	846	2015/04/01	0003927725
V	ZRL1	SYUS	PAM	2016/12/31	1285	2016/01/01	0004181491
V	ZRL2	SYCF	CEN	2014/12/31	10017-CF	2014/01/01	0003142068
V	ZRL2	SYCF	HAA	2014/12/31	10045-CF	2014/01/01	0003142228
V	ZRL2	SYCF	HAS	2014/12/31	10045-CF	2014/01/01	0003142229
V	ZRL2	SYCF	PAM	2014/12/31	10042-CF	2014/01/01	0003142195
V	ZRL2	SYUS	CEN	2014/12/31	10017-US	2014/01/01	0003141625
V	ZRL2	SYUS	HAA	2014/12/31	10045-US	2014/01/01	0003141785
V	ZRL2	SYUS	HAS	2014/12/31	10045-US	2014/01/01	0003141786
V	ZRL2	SYUS	PAM	2014/12/31	10042-US	2014/01/01	0003141752
V	ZRM1	SYCF	CGY	2014/12/31	10026-CF	2014/01/01	0003149649
V	ZRM1	SYCF	CKA	2014/12/31	10079-CF	2014/01/01	0003149654
V	ZRM1	SYCF	CKM	2014/12/31	10056-CF	2014/01/01	0003149653
V	ZRM1	SYCF	CPD	2014/12/31	10051-CF	2014/01/01	0003149651
V	ZRM1	SYCF	GVK	2014/12/31	10079-CF	2014/01/01	0003149655
V	ZRM1	SYCF	GVP	2014/12/31	10051-CF	2014/01/01	0003149652
V	ZRM1	SYCF	HW2	2014/12/31	10151-CF	2014/01/01	0003142452
V	ZRM1	SYCF	MSP	2014/12/31	10043-CF	2014/01/01	0003142196
V	ZRM1	SYCF	NC1	2014/12/31	10144-CF	2014/01/01	0003142458
V	ZRM1	SYCF	NC2	2014/12/31	10144-CF	2014/01/01	0003142459
V	ZRM1	SYCF	NC3	2014/12/31	10144-CF	2014/01/01	0003142460
V	ZRM1	SYCF	SOT	2014/12/31	10136-CF	2014/01/01	0003142468
V	ZRM1	SYUS	CGY	2014/12/31	10026-US	2014/01/01	0003144483
V	ZRM1	SYUS	CKA	2014/12/31	10079-US	2014/01/01	0003144488
V	ZRM1	SYUS	CKM	2014/12/31	10056-US	2014/01/01	0003144487
V	ZRM1	SYUS	CPD	2014/12/31	10051-US	2014/01/01	0003144485
V	ZRM1	SYUS	GVK	2014/12/31	10079-US	2014/01/01	0003144489
V	ZRM1	SYUS	GVP	2014/12/31	10051-US	2014/01/01	0003144486
V	ZRM1	SYUS	HW2	2014/12/31	10151-US	2014/01/01	0003142009
V	ZRM1	SYUS	MSP	2014/12/31	10043-US	2014/01/01	0003141753
V	ZRM1	SYUS	NC1	2014/12/31	10144-US	2014/01/01	0003142015
V	ZRM1	SYUS	NC2	2014/12/31	10144-US	2014/01/01	0003142016
V	ZRM1	SYUS	NC3	2014/12/31	10144-US	2014/01/01	0003142017
V	ZRM1	SYUS	SOT	2014/12/31	10136-US	2014/01/01	0003142025
V	ZRM2	SYCF	CDB	2014/12/31	10014-CF	2014/01/01	0003149648
V	ZRM2	SYCF	CTS	2014/12/31	10061-CF	2014/01/01	0003142275
V	ZRM2	SYUS	CDB	2014/12/31	10014-US	2014/01/01	0003144482
V	ZRM2	SYUS	CTS	2014/12/31	10061-US	2014/01/01	0003141832
V	ZRP1	SYCF	178	2015/12/31	1117	2015/04/01	0003948827
V	ZRP1	SYCF	178	2016/12/31	1444	2016/01/01	0004183547
V	ZRP1	SYCF	190	2015/12/31	1216	2015/04/01	0003950631
V	ZRP1	SYCF	190	2016/12/31	1539	2016/01/01	0004184014
V	ZRP1	SYCF	199	2015/12/31	1200	2015/04/01	0003944701
V	ZRP1	SYCF	199	2016/12/31	1526	2016/01/01	0004183959
V	ZRP1	SYCF	228	2014/12/31	10059-CF	2014/01/01	0003142274
V	ZRP1	SYCF	228	2015/12/31	1104	2015/04/01	0003930049
V	ZRP1	SYCF	228	2016/12/31	1433	2016/01/01	0004183438
V	ZRP1	SYCF	88	2015/12/31	1218	2015/04/01	0003950633
V	ZRP1	SYCF	88	2016/12/31	1541	2016/01/01	0004184016
V	ZRP1	SYCF	A2I	2014/12/31	10080-CF	2014/01/01	0003142334
V	ZRP1	SYCF	A2I	2015/12/31	1121	2015/04/01	0003930110
V	ZRP1	SYCF	A2I	2016/12/31	1448	2016/01/01	0004183696
V	ZRP1	SYCF	AA4	2014/12/31	10066-CF	2014/01/01	0003142283
V	ZRP1	SYCF	AA4	2015/12/31	981	2015/04/01	0003929478
V	ZRP1	SYCF	AA4	2016/12/31	1403	2016/01/01	0004182863
V	ZRP1	SYCF	AA5	2014/12/31	10066-CF	2014/01/01	0003142282
V	ZRP1	SYCF	AA5	2015/12/31	981	2015/04/01	0003929479
V	ZRP1	SYCF	AA5	2016/12/31	1403	2016/01/01	0004182864
V	ZRP1	SYCF	AAC	2014/12/31	10002-CF	2014/01/01	0003142033
V	ZRP1	SYCF	AAC	2015/12/31	949	2015/04/01	0003929263
V	ZRP1	SYCF	AAC	2015/12/31	981	2015/04/01	0003929480
V	ZRP1	SYCF	AAC	2016/12/31	1377	2016/01/01	0004182198
V	ZRP1	SYCF	AAC	2016/12/31	1403	2016/01/01	0004182865
V	ZRP1	SYCF	AAM	2014/12/31	10002-CF	2014/01/01	0003142031
V	ZRP1	SYCF	AAM	2015/12/31	949	2015/04/01	0003929264
V	ZRP1	SYCF	AAM	2015/12/31	981	2015/04/01	0003929481
V	ZRP1	SYCF	AAM	2016/12/31	1377	2016/01/01	0004182199
V	ZRP1	SYCF	AAM	2016/12/31	1403	2016/01/01	0004182866
V	ZRP1	SYCF	AAP	2014/12/31	10002-CF	2014/01/01	0003142029
V	ZRP1	SYCF	AAP	2015/12/31	949	2015/04/01	0003929265
V	ZRP1	SYCF	AAP	2015/12/31	981	2015/04/01	0003929482
V	ZRP1	SYCF	AAP	2016/12/31	1377	2016/01/01	0004182200
V	ZRP1	SYCF	AAP	2016/12/31	1403	2016/01/01	0004182867
V	ZRP1	SYCF	AFC	2014/12/31	10002-CF	2014/01/01	0003142034
V	ZRP1	SYCF	AFC	2015/12/31	949	2015/04/01	0003929266
V	ZRP1	SYCF	AFC	2015/12/31	981	2015/04/01	0003929483
V	ZRP1	SYCF	AFC	2016/12/31	1377	2016/01/01	0004182201
V	ZRP1	SYCF	AFC	2016/12/31	1403	2016/01/01	0004182868
V	ZRP1	SYCF	AFM	2014/12/31	10002-CF	2014/01/01	0003142032
V	ZRP1	SYCF	AFM	2015/12/31	949	2015/04/01	0003929267
V	ZRP1	SYCF	AFM	2015/12/31	981	2015/04/01	0003929484
V	ZRP1	SYCF	AFM	2016/12/31	1377	2016/01/01	0004182202
V	ZRP1	SYCF	AFM	2016/12/31	1403	2016/01/01	0004182869
V	ZRP1	SYCF	AFR	2014/12/31	10002-CF	2014/01/01	0003142030
V	ZRP1	SYCF	AFR	2015/12/31	949	2015/04/01	0003929268
V	ZRP1	SYCF	AFR	2015/12/31	981	2015/04/01	0003929485
V	ZRP1	SYCF	AFR	2016/12/31	1377	2016/01/01	0004182203
V	ZRP1	SYCF	AFR	2016/12/31	1403	2016/01/01	0004182870
V	ZRP1	SYCF	AHV	2014/12/31	10001-CF	2014/01/01	0003142028
V	ZRP1	SYCF	AHV	2015/12/31	948	2015/04/01	0003929259
V	ZRP1	SYCF	AHV	2016/12/31	1376	2016/01/01	0004182197
V	ZRP1	SYCF	ALV	2014/12/31	10158-CF	2014/11/05	0003782674
V	ZRP1	SYCF	ALV	2015/12/31	947	2015/04/01	0003929252
V	ZRP1	SYCF	ALV	2016/12/31	1375	2016/01/01	0004182196
V	ZRP1	SYCF	AMJ	2014/12/31	10138-CF	2014/01/01	0003142439
V	ZRP1	SYCF	AMJ	2015/12/31	1124	2015/04/01	0003930120
V	ZRP1	SYCF	AMJ	2016/12/31	1451	2016/01/01	0004183706
V	ZRP1	SYCF	AND	2014/12/31	10081-CF	2014/01/01	0003142339
V	ZRP1	SYCF	AND	2015/12/31	1139	2015/04/01	0003930145
V	ZRP1	SYCF	ANS	2014/12/31	10082-CF	2014/01/01	0003142340
V	ZRP1	SYCF	ANS	2015/12/31	1123	2015/04/01	0003930118
V	ZRP1	SYCF	ANS	2016/12/31	1450	2016/01/01	0004183704
V	ZRP1	SYCF	ARD	2015/12/31	1125	2015/04/01	0003930121
V	ZRP1	SYCF	ARD	2016/12/31	1452	2016/01/01	0004183707
V	ZRP1	SYCF	ASC	2014/12/31	10007-CF	2014/01/01	0003142041
V	ZRP1	SYCF	ASC	2015/12/31	955	2015/04/01	0003929295
V	ZRP1	SYCF	ASC	2016/12/31	1383	2016/01/01	0004182244
V	ZRP1	SYCF	AT4	2014/12/31	10068-CF	2014/01/01	0003142291
V	ZRP1	SYCF	AT4	2015/12/31	1079	2015/04/01	0003929905
V	ZRP1	SYCF	AT4	2015/12/31	1111	2015/04/01	0003930066
V	ZRP1	SYCF	AT4	2016/12/31	1421	2016/01/01	0004183227
V	ZRP1	SYCF	AT4	2016/12/31	1438	2016/01/01	0004183450
V	ZRP1	SYCF	AT5	2014/12/31	10068-CF	2014/01/01	0003142289
V	ZRP1	SYCF	AT5	2015/12/31	1079	2015/04/01	0003929906
V	ZRP1	SYCF	AT5	2015/12/31	1111	2015/04/01	0003930067
V	ZRP1	SYCF	AT5	2016/12/31	1421	2016/01/01	0004183228
V	ZRP1	SYCF	AT5	2016/12/31	1438	2016/01/01	0004183451
V	ZRP1	SYCF	ATM	2014/12/31	10074-CF	2014/01/01	0003142311
V	ZRP1	SYCF	ATM	2015/12/31	981	2015/04/01	0003929486
V	ZRP1	SYCF	ATM	2015/12/31	1117	2015/04/01	0003930082
V	ZRP1	SYCF	ATM	2016/12/31	1403	2016/01/01	0004182871
V	ZRP1	SYCF	ATM	2016/12/31	1444	2016/01/01	0004183548
V	ZRP1	SYCF	ATR	2014/12/31	10074-CF	2014/01/01	0003142302
V	ZRP1	SYCF	ATR	2015/12/31	981	2015/04/01	0003929487
V	ZRP1	SYCF	ATR	2015/12/31	1117	2015/04/01	0003930083
V	ZRP1	SYCF	ATR	2016/12/31	1403	2016/01/01	0004182872
V	ZRP1	SYCF	ATR	2016/12/31	1444	2016/01/01	0004183549
V	ZRP1	SYCF	AU3	2015/12/31	947	2015/04/01	0004151648
V	ZRP1	SYCF	AU3	2016/12/31	1375	2016/01/01	0004182195
V	ZRP1	SYCF	AVE	2014/12/31	10074-CF	2014/01/01	0003142303
V	ZRP1	SYCF	AVE	2015/12/31	981	2015/04/01	0003929488
V	ZRP1	SYCF	AVE	2015/12/31	1117	2015/04/01	0003930084
V	ZRP1	SYCF	AVE	2016/12/31	1403	2016/01/01	0004182873
V	ZRP1	SYCF	AVE	2016/12/31	1444	2016/01/01	0004183550
V	ZRP1	SYCF	AVM	2014/12/31	10074-CF	2014/01/01	0003142312
V	ZRP1	SYCF	AVM	2015/12/31	981	2015/04/01	0003929489
