CUSTOMER NAME : ,,Kmart - FBW Cutlery,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:  11/09/15,,2015 Fall + Pipeline, ,, , , , , , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 700 ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,Brand,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ITEM #  ,   ,   ,    ," 5,105,235 "," 5,113,802 ",   ,   ," 5,119,269 "," 5,119,271 "," 5,119,274 "," 5,135,513 ",   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, DESCRIPTION ,FARBERWARE 8X6 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD BLUE EDGES,FW ULTRA SHARP 22PC SET,FW 17PC TRIPLE RIVET CUTLERY SET RED,"FARBERWARE EDGEKEEPER 3.5"" PARER","FARBERWARE EDGEKEEPER 8"" CHEF KNIFE", FW CLASSIC 8IN CHEF KNIFE,FW CLASSIC 8IN SLICER ,FW CLASSIC 4PC STEAK KNIFE SET ,FW 15PC STAMPED STAINLESS STEEL SET,2PC SHEARS SET ,S/2 SANTOKU  ,S/3 CHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  COST ,,, $1.80 , $4.50 , $4.50 , $12.00 , $20.50 , $3.00 , $5.00 , $2.00 , $2.00 , $3.00 , $22.00 , $5.00 , $5.00 , $5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECOMMENDED PROMO,   , ,$3.59 ,$8.99 ,$8.99 ,$23.99 ,$40.99 ,$5.99 ,$9.99 ,$3.99 ,$3.99 ,$5.99 ,$43.99 ,$9.99 ,$9.99 ,$9.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICKET PRICE,,,$4.79 ,$11.99 ,$11.99 ,$31.99 ,$54.65 ,$7.99 ,$13.32 ,$5.32 ,$5.32 ,$7.99 ,$58.65 ,$13.32 ,$13.32 ,$13.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kmart GM% @ TICKET,,,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL UNIT VOLUME TOTAL YR 2010, ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL DOLLAR VOLUME TOTAL YR 20010,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kmart GM%  @ PROMO,,,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIPELINE FILL QTY,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 OPENING ORDER VOL ,,," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",   ,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 OPENING ORDER VOL ,,," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,   , ,   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ANNUAL VOLUME,,," 1,800 "," 4,800 "," 4,200 "," 3,900 "," 4,000 "," 1,320 "," 2,700 "," 7,800 "," 6,000 "," 4,800 "," 3,900 "," 4,200 "," 6,000 "," 6,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST WEIGHTED VOL,,," $3,240 "," $21,600 "," $18,900 "," $46,800 "," $82,000 "," $3,960 "," $13,500 "," $15,600 "," $12,000 "," $14,400 "," $85,800 "," $21,000 "," $30,000 "," $30,000 ",," $398,800 ",   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVERTISING,,10.00%, $324 ," $2,160 "," $1,890 "," $4,680 "," $8,200 ", $396 ," $1,350 "," $1,560 "," $1,200 "," $1,440 "," $8,580 "," $2,100 "," $3,000 "," $3,000 ",," $39,880 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFECTIVE ALL.,,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening Order Discount,20%,,,,,,,,,   ,   ,   ,   ,   ,   ,   ,," $50,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNN, ,0.00%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,, $-   , DNN for 2016 / this is new program accrual only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL DEDUCTIONS,,10.00%, $324 ," $2,160 "," $1,890 "," $4,680 "," $8,200 ", $396 ," $1,350 "," $1,560 "," $1,200 "," $1,440 "," $8,580 "," $2,100 "," $3,000 "," $3,000 ",," $89,880 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET SALES,,," $2,916 "," $19,440 "," $17,010 "," $42,120 "," $73,800 "," $3,564 "," $12,150 "," $14,040 "," $10,800 "," $12,960 "," $77,220 "," $18,900 "," $27,000 "," $27,000 ",," $308,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERMS,,2%, $44 , $292 , $255 , $632 ," $1,107 ", $53 , $182 , $211 , $162 , $194 ," $1,158 ", $284 , $405 , $405 ,," $5,384 ",,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.G.S.,,," $1,692 "," $4,704 "," $4,494 "," $25,662 "," $48,240 "," $1,360 "," $4,698 "," $6,162 "," $4,140 "," $5,712 "," $51,480 "," $6,006 "," $9,120 "," $10,800 ",," $184,270 ",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,," $1,736 "," $4,996 "," $4,749 "," $26,294 "," $49,347 "," $1,413 "," $4,880 "," $6,373 "," $4,302 "," $5,906 "," $52,638 "," $6,290 "," $9,525 "," $11,205 ",," $189,653 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,,," $1,180.26 "," $14,444.40 "," $12,260.85 "," $15,826.20 "," $24,453.00 "," $2,150.94 "," $7,269.75 "," $7,667.40 "," $6,498.00 "," $7,053.60 "," $24,581.70 "," $12,610.50 "," $17,475.00 "," $15,795.00 ",," $119,266.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.M.%,,,40%,74%,72%,38%,33%,60%,60%,55%,60%,54%,32%,67%,65%,59%,,39%,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC,,,$0.94 ,$0.98 ,$1.07 ,$6.58 ,$12.06 ,$1.03 ,$1.74 ,$0.79 ,$0.69 ,$1.19 ,$13.20 ,$1.43 ,$1.52 ,$1.80 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
