 700 ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,Brand,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,Farberware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ITEM #  ,   ,   ,    ," 5,105,235 "," 5,113,802 ",   ,   ," 5,119,269 "," 5,119,271 "," 5,119,274 "," 5,135,513 ",   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, DESCRIPTION ,FARBERWARE 8X6 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD RED EDGES,FARBERWARE 11X14 BAMBOO CUTTING BOARD BLUE EDGES,FW ULTRA SHARP 22PC SET,FW 17PC TRIPLE RIVET CUTLERY SET RED,"FARBERWARE EDGEKEEPER 3.5"" PARER","FARBERWARE EDGEKEEPER 8"" CHEF KNIFE", FW CLASSIC 8IN CHEF KNIFE,FW CLASSIC 8IN SLICER ,FW CLASSIC 4PC STEAK KNIFE SET ,FW 15PC STAMPED STAINLESS STEEL SET,2PC SHEARS SET ,S/2 SANTOKU  ,S/3 CHEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, LC ,$0.80 ,$1.27 ,$1.27 ,$6.58 ,$12.06 ,$1.03 ,$1.74 ,$0.79 ,$0.69 ,$1.19 ,$13.20 ,$1.43 ,$1.52 ,$1.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, open order qty ," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Total Year Units ,3000,8000,7000,8000,8000,2200,4500,13000,10000,8000,10000,6000,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Door Count ,322,600,600,710,600,255,584,977,613,584,977,942,977,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kmart GM% @ TICKET,,,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL UNIT VOLUME TOTAL YR 2010, ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL DOLLAR VOLUME TOTAL YR 20010,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kmart GM%  @ PROMO,,,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIPELINE FILL QTY,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 OPENING ORDER VOL ,,," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",   ,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 OPENING ORDER VOL ,,," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,   , ,   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Units/Door ,,, 11 , 14 , 14 , 11 , 13 , 18 , 8 , 13 , 16 , 15 , 10 , 11 , 10 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL ANNUAL VOLUME,,," 3,400 "," 8,600 "," 8,600 "," 8,000 "," 8,000 "," 4,500 "," 4,500 "," 13,000 "," 10,000 "," 9,000 "," 10,000 "," 10,000 "," 10,000 "," 10,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST WEIGHTED VOL,,," $6,120 "," $38,700 "," $38,700 "," $96,000 "," $164,000 "," $13,500 "," $22,500 "," $26,000 "," $20,000 "," $27,000 "," $220,000 "," $50,000 "," $50,000 "," $50,000 ",," $822,520 ",   , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVERTISING / DEFECTIVE,,10.00%, $612 ," $3,870 "," $3,870 "," $9,600 "," $16,400 "," $1,350 "," $2,250 "," $2,600 "," $2,000 "," $2,700 "," $22,000 "," $5,000 "," $5,000 "," $5,000 ",," $82,252 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening Order Discount,20%,,,,,,,,, $200 , $200 , $200 , $200 , $200 , $200 , $200 ,," $50,000 ",January 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNN, ,3.00%, $184 ," $1,161 "," $1,161 "," $2,880 "," $4,920 ", $405 , $675 , $780 , $600 , $810 ," $6,600 "," $1,500 "," $1,500 "," $1,500 ",," $24,676 ", - 10K taken from DNN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL DEDUCTIONS,,13.00%, $796 ," $5,031 "," $5,031 "," $12,480 "," $21,320 "," $1,755 "," $2,925 "," $3,580 "," $2,800 "," $3,710 "," $28,800 "," $6,700 "," $6,700 "," $6,700 ",," $156,928 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET SALES,,," $5,324 "," $33,669 "," $33,669 "," $83,520 "," $142,680 "," $11,745 "," $19,575 "," $22,420 "," $17,200 "," $23,290 "," $191,200 "," $43,300 "," $43,300 "," $43,300 ",," $665,592 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
