AKTNR,ANZAUF,BOMAT,BOSTA,Exclude,FKWRT,GKWRT,KAPPL,KBETR,KBRUE,KFRST,KLF_KAL,KLF_STG,KMEIN,KNUMA_AG,KNUMA_BO,KNUMA_PI,KNUMA_SQ,KNUMH,KNUMT,KOMXWRT,KONMS,KONWA,KONWS,KOPOS,KPEIN,KRECH,KSCHL,KSPAE,KSTBM,KSTBW,KUMNE,KUMZA,KUNNR,KWAEH,KZBZG,KZNEP,LIFNR,LOEVM_KO,MANDT,MDFLG,MEINS,MIKBAS,MWSK1,MWSK2,MXKBAS,MXWRT,PKWRT,PRSCH,RSWRT,STFKZ,UASTA,UKBAS,VALDT,VALTG,VBEWA,VERTN,VERTT,VKKAL,ZAEHK_IND,ZTERM
 ,00,MFA-ROY, ,,0,0,V,-40,-40, ,0000,0000, , ,10160-US, , ,0003822075, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFA-ROY,B,,0,0,V,-40,-40, ,0000,0000, , ,10160-CF, , ,0003822078, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFA-ROY,B,,0,0,V,-40,-40, ,0000,0000, , ,0000000824, , ,0003927535, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFA-ROY,B,,0,0,V,-40,-40, ,0000,0000, , ,0000001264, , ,0004180946, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-40,-40, ,0000,0000, , ,0000000973, , ,0003929360, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-40,-40, ,0000,0000, , ,0000000973, , ,0003929361, ,0,M3,%, ,01,0,A,ZRP1, ,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,10160-US, , ,0003822076, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931340, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931341, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0003931342, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
