KAPPL	KSCHL	VKORG	ZZ_MVGR5	BRSCH	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CCR	FO	2016/12/31	1384	2016/01/01	0004182259
V	ZRP1	SYCF	CCR	LI	2015/12/31	956	2015/04/01	0003948564
V	ZRP1	SYCF	CCR	LI	2016/12/31	1384	2016/01/01	0004182260
V	ZRP1	SYCF	CCR	MA	2015/12/31	956	2015/04/01	0004005643
V	ZRP1	SYCF	CCR	MA	2016/12/31	1384	2016/01/01	0004182301
V	ZRP1	SYCF	CCR	OP	2015/12/31	956	2015/04/01	0004005644
V	ZRP1	SYCF	CCR	OP	2016/12/31	1384	2016/01/01	0004182302
V	ZRP1	SYCF	CCR	WC	2015/12/31	956	2015/04/01	0004005642
V	ZRP1	SYCF	CCR	WC	2016/12/31	1384	2016/01/01	0004182303
V	ZRP1	SYCF	CDM	FO	2015/12/31	956	2015/04/01	0004005649
V	ZRP1	SYCF	CDM	FO	2016/12/31	1384	2016/01/01	0004182304
V	ZRP1	SYCF	CDM	LI	2015/12/31	956	2015/04/01	0004005645
V	ZRP1	SYCF	CDM	LI	2016/12/31	1384	2016/01/01	0004182305
V	ZRP1	SYCF	CDM	MA	2015/12/31	956	2015/04/01	0004005647
V	ZRP1	SYCF	CDM	MA	2016/12/31	1384	2016/01/01	0004182306
V	ZRP1	SYCF	CDM	OP	2015/12/31	956	2015/04/01	0004005648
V	ZRP1	SYCF	CDM	OP	2016/12/31	1384	2016/01/01	0004182307
V	ZRP1	SYCF	CDM	WC	2015/12/31	956	2015/04/01	0004005646
V	ZRP1	SYCF	CDM	WC	2016/12/31	1384	2016/01/01	0004182308
V	ZRP1	SYCF	CDP	FO	2015/12/31	956	2015/04/01	0003948557
V	ZRP1	SYCF	CDP	FO	2016/12/31	1384	2016/01/01	0004182261
V	ZRP1	SYCF	CDP	LI	2015/12/31	956	2015/04/01	0003948558
V	ZRP1	SYCF	CDP	LI	2016/12/31	1384	2016/01/01	0004182262
V	ZRP1	SYCF	CDP	MA	2015/12/31	956	2015/04/01	0004005651
V	ZRP1	SYCF	CDP	MA	2016/12/31	1384	2016/01/01	0004182309
V	ZRP1	SYCF	CDP	OP	2015/12/31	956	2015/04/01	0004005652
V	ZRP1	SYCF	CDP	OP	2016/12/31	1384	2016/01/01	0004182310
V	ZRP1	SYCF	CDP	WC	2015/12/31	956	2015/04/01	0004005650
V	ZRP1	SYCF	CDP	WC	2016/12/31	1384	2016/01/01	0004182311
V	ZRP1	SYCF	CDS	FO	2015/12/31	956	2015/04/01	0003948559
V	ZRP1	SYCF	CDS	FO	2016/12/31	1384	2016/01/01	0004182263
V	ZRP1	SYCF	CDS	LI	2015/12/31	956	2015/04/01	0003948560
V	ZRP1	SYCF	CDS	LI	2016/12/31	1384	2016/01/01	0004182264
V	ZRP1	SYCF	CDS	MA	2015/12/31	956	2015/04/01	0004005654
V	ZRP1	SYCF	CDS	MA	2016/12/31	1384	2016/01/01	0004182312
V	ZRP1	SYCF	CDS	OP	2015/12/31	956	2015/04/01	0004005655
V	ZRP1	SYCF	CDS	OP	2016/12/31	1384	2016/01/01	0004182313
V	ZRP1	SYCF	CDS	WC	2015/12/31	956	2015/04/01	0004005653
V	ZRP1	SYCF	CDS	WC	2016/12/31	1384	2016/01/01	0004182314
V	ZRP1	SYCF	CLH	FO	2015/12/31	956	2015/04/01	0003948565
V	ZRP1	SYCF	CLH	FO	2016/12/31	1384	2016/01/01	0004182265
V	ZRP1	SYCF	CLH	LI	2015/12/31	956	2015/04/01	0003948566
V	ZRP1	SYCF	CLH	LI	2016/12/31	1384	2016/01/01	0004182266
V	ZRP1	SYCF	CLH	MA	2015/12/31	956	2015/04/01	0004005657
V	ZRP1	SYCF	CLH	MA	2016/12/31	1384	2016/01/01	0004182315
V	ZRP1	SYCF	CLH	OP	2015/12/31	956	2015/04/01	0004005658
V	ZRP1	SYCF	CLH	OP	2016/12/31	1384	2016/01/01	0004182316
V	ZRP1	SYCF	CLH	WC	2015/12/31	956	2015/04/01	0004005656
V	ZRP1	SYCF	CLH	WC	2016/12/31	1384	2016/01/01	0004182317
V	ZRP1	SYCF	CLM	FO	2015/12/31	956	2015/04/01	0004005660
V	ZRP1	SYCF	CLM	FO	2016/12/31	1384	2016/01/01	0004182318
V	ZRP1	SYCF	CLM	LI	2015/12/31	956	2015/04/01	0004005659
V	ZRP1	SYCF	CLM	LI	2016/12/31	1384	2016/01/01	0004182319
V	ZRP1	SYCF	CLM	MA	2015/12/31	956	2015/04/01	0004005662
V	ZRP1	SYCF	CLM	MA	2016/12/31	1384	2016/01/01	0004182320
V	ZRP1	SYCF	CLM	OP	2015/12/31	956	2015/04/01	0004005663
V	ZRP1	SYCF	CLM	OP	2016/12/31	1384	2016/01/01	0004182271
V	ZRP1	SYCF	CLM	WC	2015/12/31	956	2015/04/01	0004005661
V	ZRP1	SYCF	CLM	WC	2016/12/31	1384	2016/01/01	0004182272
V	ZRP1	SYCF	CLR	FO	2015/12/31	956	2015/04/01	0004005665
V	ZRP1	SYCF	CLR	FO	2016/12/31	1384	2016/01/01	0004182273
V	ZRP1	SYCF	CLR	LI	2015/12/31	956	2015/04/01	0004005664
V	ZRP1	SYCF	CLR	LI	2016/12/31	1384	2016/01/01	0004182274
V	ZRP1	SYCF	CLR	MA	2015/12/31	956	2015/04/01	0004005667
V	ZRP1	SYCF	CLR	MA	2016/12/31	1384	2016/01/01	0004182275
V	ZRP1	SYCF	CLR	OP	2015/12/31	956	2015/04/01	0004005668
